,author,updated_at,like_count,text,public
0,@elisalenasari5272,2024-11-01T05:31:17Z,0,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,True
1,@elisalenasari5272,2024-11-01T05:29:57Z,0,Onicc,True
2,@AnisaNurul-wr1rw,2024-11-01T04:50:02Z,1,Sjjusjud,True
3,@saniarizka2465,2024-10-31T17:55:48Z,0,hhh,True
4,@BagasBagas-sn5yq,2024-10-31T03:47:36Z,0,Trevel kil ga ada kairi,True
5,@BagasBagas-sn5yq,2024-10-31T03:44:52Z,0,Kairi okk mantap,True
6,@Bagiyo-z2p,2024-10-30T11:03:40Z,0,Tim kairi mananihjjjjjjğŸ‰,True
7,@merydhitu5708,2024-10-30T02:57:21Z,0,Hei moonton anggap saya,True
8,@wasisshodiqin2686,2024-10-29T08:20:12Z,0,Seru banget,True
9,@ArshakaAl-o3i,2024-10-28T14:15:56Z,0,"Onic banyak gaya, ujung2 nya keokğŸ˜…ğŸ˜…",True
10,@FaizahAurelia,2024-10-28T07:47:34Z,0,Gila rrq ni bos,True
11,@AbdulRasid-w8p,2024-10-28T01:03:11Z,0,RRQ MINUS NYA CUMA DI SI RINZ,True
12,@Mario-h5x6m,2024-10-27T14:42:00Z,1,Ngantuk gw,True
13,@CU-XTV,2024-10-26T11:11:12Z,0,Rrq sihh,True
14,@arfaksalowis,2024-10-26T10:34:51Z,0,Gue mah respect sutsujin sih 0 :12,True
15,@joyogiso9750,2024-10-26T07:06:05Z,1,RRQ jaya jaya jaya,True
16,@dhaffaarrizkysantoso5261,2024-10-26T00:51:51Z,0,kalahin onic ya RRQ,True
17,@dhaffaarrizkysantoso5261,2024-10-26T00:50:24Z,0,Ayo RRQ biar kamu menang lagi RRQ sedikit lagi kamu menang,True
18,@fahmiyusuf8006,2024-10-24T14:44:12Z,0,makasih sutsujin karna gak buat gw kecewa dan tim RRQ,True
19,@YogaWijianto-lb8fc,2024-10-24T09:04:16Z,0,Bang menang gak kalau menang ajarin dong,True
20,@fauzanyzx8002,2024-10-23T05:39:22Z,0,rrq,True
21,@muhammadridhoobama2610,2024-10-22T13:34:07Z,0,7:00,True
22,@AULLYACH123,2024-10-19T15:34:39Z,0,RRQ pasti menangâ¤â¤â¤,True
23,@veronicamargreth-lz8qx,2024-10-19T12:17:26Z,1,7:00,True
24,@littlepriya5519,2024-10-19T08:44:47Z,0,Est-ce que tu m'aimes,True
25,@KeyFf26,2024-10-18T13:53:18Z,0,Semangat onicâ¤â¤â¤,True
26,@lnsa-p9n,2024-10-18T13:30:13Z,0,Rrg 1game over confi,True
27,@ramli-i5p,2024-10-18T12:37:47Z,0,Kebayakan orng tolol main ML kya septiawan,True
28,@Yubs-X-Dyyroth,2024-10-18T11:54:42Z,0,Onic bot krocoğŸ˜‚,True
29,@dahrowi4241,2024-10-18T11:10:36Z,0,ğŸ‘ğŸ‘,True
30,@AhmadTakyudin-q4c,2024-10-18T10:45:00Z,0,RRQ TANPA SUTSUJIN BISA APA CO SAMA SEKAYILAR,True
31,@BujangVivo-di6om,2024-10-17T03:12:14Z,0,Keren susjinn mantap kali,True
32,@SANG12345hitam,2024-10-16T22:50:34Z,0,Game burik,True
33,@EdwinAndrianto-y2s,2024-10-16T11:58:44Z,0,Pp,True
34,@PalmerAbel-h9f,2024-10-16T09:52:25Z,0,Garcia Helen Taylor Helen Hernandez Donna,True
35,@AlexanderPLegesang-b2t,2024-10-15T21:30:50Z,0,0:35 0:36 0:37 0:38 0:39 0:40 0:41 0:42 0:43,True
36,@YatanoDiyaba,2024-10-15T14:31:46Z,0,Ih suka bgt liat skylar usap usap kepala member2 nyaaağŸ˜¢,True
37,@RifkyPratama-fm1rt,2024-10-15T13:19:54Z,0,Klss Ling nyağŸ™ğŸ»,True
38,@pahrulpahrozi4574,2024-10-15T10:14:37Z,0,Menyala fanaticonic kuu,True
39,@TazulArifin-r6u,2024-10-15T08:17:29Z,0,7:00,True
40,@kyarypamyupamyu5088,2024-10-14T18:58:56Z,0,Satu tim sama RRQ mereka dark system semua dapet medali coklat pada.,True
41,@faisalrahman8394,2024-10-14T14:28:26Z,0,RRQ Gilaaakk...!,True
42,@Martell174,2024-10-14T05:02:50Z,0,Gila seru parah ni match,True
43,@SamsulBahri-y6k,2024-10-14T03:26:33Z,0,Baru tau fungsi ulti gatotğŸ˜…ğŸ˜…ğŸ˜… trnyata buat kaburğŸ˜…ğŸ˜…ğŸ˜…,True
44,@antoxantox8457,2024-10-13T18:14:18Z,0,Game tololl,True
45,@SiskaSiska-l9w,2024-10-13T14:18:59Z,0,"Nerf kb, berisik gk guna",True
46,@ToleKirun,2024-10-13T08:37:55Z,0,"masukan buat mpl sih itu suara comentar mlnya yang forst blood, doble kill sampe savage agak di kerasin dikit... 

soalnya seperti tensinya lebih bagus aja...",True
47,@mijemrikasusanti95,2024-10-13T06:12:49Z,0,"game gajelas jujur renk tertinggi gw glory awal dan setiap renk abis sesend dan gw hari ini juga masih legend 1 dan setiap gw main renk solo tim gw penghuni legend asli musuh nya renk tertingga ada yg honor glory dann tim gua ya gitu skill bocahh coba"" , plis moonton di benerkan sistem nya kllo gitu nama nya ga adill dong tolong kasih tim dan musuh yang imbang. moonton apa inii ga adill klo perlu saya bisa ss semua memang moonton game gapunya sistem.",True
48,@wiwitfikaduri508,2024-10-13T03:07:46Z,0,Gs9geog03tğŸ˜Š,True
49,@FerrySuwandi-g9l,2024-10-12T23:35:17Z,0,rrq Pasti menang,True
50,@hasansrl1156,2024-10-12T19:14:13Z,0,Skylar ne oynamÄ±ÅŸ be amk bÃ¶yle oyun gÃ¶rmedim ben onici yok etmiÅŸ,True
51,@haikalafifudin367,2024-10-12T06:04:27Z,0,Game akan lebih seru jika caster nya bukan kb,True
52,@vosen_satriawi,2024-10-12T05:28:35Z,0,Onic kalau mau menang mainkan albret  jadi hyper,True
53,@kevinvinales1266,2024-10-11T21:26:03Z,0,"bisa apa rezzz, pemain goblok ğŸ¤£",True
54,@Putriewardah,2024-10-11T11:32:03Z,0,Padahal udah di bantai sama onic yaudah ga papah kita lihat pertandingan 2,True
55,@febrianaldi146,2024-10-11T10:21:38Z,0,â¤,True
56,@Nurfadilah-p5e,2024-10-11T04:43:14Z,1,mantap,True
57,@kinguyech471,2024-10-11T02:04:20Z,0,TABRAAAAK,True
58,@fauzi-yj5vd,2024-10-11T00:47:04Z,0,"Wkwkwkwkw CW main lunox kek main fighter, tank. 

Sakit perut guağŸ˜‚ğŸ˜‚ğŸ˜‚",True
59,@PakDen-bk2fq,2024-10-10T06:25:11Z,0,Gg,True
60,@darkdino5,2024-10-10T06:12:21Z,0,so many indogs barking,True
61,@BarbaraYoung-n5q,2024-10-10T01:19:29Z,0,Clark Brenda Lopez Kimberly White Gary,True
62,@JulioPutra-s4p,2024-10-10T01:13:19Z,0,"mana ni yg dulu bilang sambil teriak this is kiboy wkwkwkwk
apa.sudaj habis batrai kah?",True
63,@JulioPutra-s4p,2024-10-10T01:12:32Z,0,mana ni dulu yg bilang roamer terbaik dan mid terbaik,True
64,@JulioPutra-s4p,2024-10-10T01:11:58Z,0,iya lah kalah ya kalah mau alasan apa aja,True
65,@novianromadoni,2024-10-09T19:44:36Z,0,kalo kalah ya kalah aja ga ada alasan,True
66,@ujangsupriatna7359,2024-10-09T15:10:28Z,0,Hakan tah ku sia jing ..lebooooooxxxxxx,True
67,@SitiLatifah-l2m,2024-10-09T13:06:50Z,0,REQ belum letgem,True
68,@faridahhanum394,2024-10-09T07:21:13Z,0,"Klo onic kalah
 gua bantai RRQ make Roger",True
69,@niluhsuriasih3297,2024-10-09T06:58:53Z,0,sutsujin gila sih,True
70,@lutfiaquilapranaya7813,2024-10-08T09:33:53Z,0,lemon gak maen,True
71,@Gr7bang,2024-10-07T14:20:24Z,1,Skylar botak weğŸ˜…ğŸ˜…,True
72,@Difrak-l3w,2024-10-07T05:29:21Z,0,"Kalau sanz ga mati menit akhir sama skylar, kek nya masih blm end game nya.",True
73,@Azam2024-q4o,2024-10-07T03:47:23Z,0,Onic sple,True
74,@FizaAfiza-t4k,2024-10-06T22:13:29Z,0,"lz""",True
75,@FizaAfiza-t4k,2024-10-06T22:13:29Z,0,"lz""?",True
76,@sdnegeri1sakra,2024-10-06T11:16:10Z,0,"Sans tolol , sok kali nggak mau mundur ujung ujungnya mati , sans auuut aja",True
77,@ndhikapoetra7511,2024-10-06T10:57:18Z,0,Pemain paok paok,True
78,@zxozi8506,2024-10-05T05:33:19Z,0,"Tutor biar dpt tim enak dong 13x kalah 13x mvp semua 
Masih stuck epic 1-2",True
79,@fifihafizahzahara3518,2024-10-05T01:46:14Z,0,LoL KAIRI,True
80,@RegiUhuy,2024-10-04T17:05:58Z,0,ulti gatot cuman di pake buat kabur doang wkwkwkw,True
81,@Ayamcolorful01,2024-10-04T15:06:32Z,0,,True
82,@Stenlywelkis,2024-10-04T12:08:44Z,0,Pas onic kalah RRQ Bilang Ga ada Kairi bisa apa Skrg Mereka ga bisa apaÂ¹,True
83,@SukariMobile,2024-10-04T05:48:45Z,0,Yah sunsujin GK pake Fanny,True
84,@AynaRamadhania0406,2024-10-03T03:46:21Z,0,Kelazz makronya sutsujin,True
85,@UsmanAlinudin,2024-10-02T16:02:11Z,0,Buts udah ga ada ya?,True
86,@muhammadaliichwan3410,2024-10-02T13:36:39Z,0,Komentator ngomong apa GK mutu sekali ngomong apa ganggu aja ngomong blepeton bicara yg pelan dan bicara yg jelas padat biar di dengar orang keliatan baik,True
87,@NorHalimah-rx3wq,2024-10-01T09:44:47Z,0,Onik butuh buts buts aku syg kamuâ¤â¤â¤â¤,True
88,@Fahrigeming4278,2024-10-01T09:20:33Z,1,Go onic,True
89,@MuhammadBagus-c8i,2024-09-29T14:53:33Z,0,Vvhiccvvic,True
90,@Muh.khalif990,2024-09-28T04:45:26Z,0,"Rezz membuat kesalahan fatal di 31:26 , ini yg membuat onic ter wipe out",True
91,@SendalJepit-y9t,2024-09-27T12:56:10Z,0,"Kairi sok keras Melulu.
Terbukti.. !!! Dah berulang kali liat permainan kairi se bego itu. Masih aja dipake terus..
Bayar org bdh, ngapain...",True
92,@Penghuniepic46,2024-09-27T12:19:44Z,0,RRQ ni bos,True
93,@rynnvyxl3341,2024-09-27T11:24:33Z,0,Skylar sama sutsujin serem bener bjir,True
94,@umarkucup600,2024-09-27T06:04:16Z,0,"sanz songong , kalah diem, kiboy byk.bcot, skil zonk...",True
95,@WahidaRohmana,2024-09-26T19:38:03Z,0,Mampozzz,True
96,@muhsabita,2024-09-26T07:50:44Z,0,rezz banyak gaya doang,True
97,@ekatoto1672,2024-09-25T20:25:52Z,0,Sutsujin sama skylar dingin bangetğŸ¥¶,True
98,@agustiantompel8991,2024-09-25T15:12:22Z,0,Fans Kairi like bosssssğŸ˜,True
99,@MawarardiArdi,2024-09-25T13:43:05Z,0,Roger mode Musik,True
100,@Fadilah11-n6b,2024-09-25T13:37:33Z,0,waww,True
101,@Fadilah11-n6b,2024-09-25T13:37:15Z,0,waww,True
102,@nirmawatitinaLolan,2024-09-25T13:34:03Z,0,"Kairi ganteng banget, semangat ONICâ¤â¤",True
103,@HannAef-f4l,2024-09-25T06:51:32Z,0,Plg seru war onic rrq ğŸ˜®ğŸ˜®ğŸ˜®,True
104,@Wanssszzz,2024-09-25T06:06:04Z,0,Inimah Kairul nyari savage,True
105,@Zeeproject11,2024-09-25T05:41:59Z,0,Menyala sutsujinğŸ”¥ğŸ”¥,True
106,@RafaelSinambela-vk8os,2024-09-25T04:45:33Z,1,Kairi memang jago maniac gak tuh,True
107,@Cilcilacila,2024-09-25T04:26:07Z,1,"Baru kali ini gua nonton sampe teriak teriak saking ikut tegangnya, ini baru namanya war",True
108,@faisalchannel248,2024-09-24T12:44:21Z,0,ğŸ‘,True
109,@wakidikidi3793,2024-09-24T08:55:10Z,0,Siapa berani baiwan karo RRQ,True
110,@BettyClark-r3h,2024-09-23T20:10:27Z,0,Harris Robert Miller George Moore Scott,True
111,@AngelaWatulangkou,2024-09-23T12:48:44Z,0,Baru sadar skylar botak ğŸ˜‚,True
112,@enyrohmia1632,2024-09-23T12:08:25Z,0,"Disini kairo terus dijaga, sedangkan sutsujin terbang bebas gilaaa sih sutsujin",True
113,@MahliZally,2024-09-23T03:38:33Z,0,"Onic kalah gara"" cewe yang buta map",True
114,@TanMing__,2024-09-22T18:18:28Z,0,"KICK ADI, SESIMPLE ITU ğŸ—¿",True
115,@jocelyncharlson8844,2024-09-22T13:26:55Z,0,Thomas Edward Gonzalez Christopher Allen Lisa,True
116,@hadiiswanto451,2024-09-22T08:35:26Z,0,Bnyk amat lambgg dajjal ny,True
117,@hadiiswanto451,2024-09-22T08:34:54Z,0,Game dajjal,True
118,@hadiiswanto451,2024-09-22T08:34:15Z,0,Game dajjal,True
119,@hadiiswanto451,2024-09-22T08:33:59Z,0,Game dajjal,True
120,@tarizalrizal7059,2024-09-22T07:22:27Z,0,Pemain lama di lawan pemain baru ttep aja menang RRQ  pemain lama zama nya evos jess No limitt tpi tanpa lemon pemain bru skarang,True
121,@hamdinatakarien2765,2024-09-21T23:39:40Z,0,terbaik,True
122,@whitexbear9263,2024-09-21T16:39:58Z,0,9:41 adaa easter egg,True
123,@TomiRitonga,2024-09-21T12:23:25Z,0,Lawak cewe make Roger ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,True
124,@Delrichanel,2024-09-21T10:04:32Z,0,ğŸ˜…ğŸ˜ŠğŸ˜…ğŸ˜®ğŸ˜…ğŸ˜…,True
125,@ponpokobushi7389,2024-09-21T08:06:50Z,0,bnyk gaya njir si rezzzğŸ˜…,True
126,@Huntingvilla,2024-09-21T06:55:26Z,0,Ini pertandingan nya sutsujin sangat mantap selain godline semua sempurna,True
127,@Huntingvilla,2024-09-21T06:53:24Z,0,"Ini pertandingan yg aku ulang ulang tonton dan gak pernah bosan 
Sangat asik dan elit 
Aku suka rrq karna lemon dan sutsujin",True
128,@Nu99etsYGY,2024-09-21T06:46:24Z,0,kelaz kingğŸ”¥,True
129,@syifaquentz0625,2024-09-21T03:28:51Z,0,Oniconoc kalah terahir ua yah wajarlah tapi rrq ni. BOS,True
130,@FanisNingsih,2024-09-21T01:32:43Z,0,Menang kak tuh,True
131,@srirohani7739,2024-09-20T15:21:59Z,0,terus berusa saja usaha tidak pernah menghianati hasil tetap semangat ONIC,True
132,@sukmawanda5852,2024-09-20T14:18:13Z,0,Match terbaik sampe gak bosen liatnya,True
133,@irvanmanurung3918,2024-09-20T14:14:33Z,0,A,True
134,@damplenkoxs8266,2024-09-20T12:58:37Z,0,Mencari alasan kiboy wkwk,True
135,@GolBagol-fz5jw,2024-09-20T11:43:52Z,0,"MANA NICH YANG MAU BALAS DENDAM 
UDAH KETEMU MALAH KE BANTAI",True
136,@alfharuq24,2024-09-20T10:20:29Z,0,Ketika ada tim yg lebih kuat atas ONIC berasa banget kalau ONIC selama ini digendong PH cuma bocil konoha malu mau ngakuin.,True
137,@Dalipaja,2024-09-20T09:03:22Z,0,GG RRQ NT FNATIC ONIC,True
138,@MahliZally,2024-09-20T07:59:10Z,0,Sainz buta map,True
139,@danielgatroken385,2024-09-20T03:36:39Z,0,Mantap rrq walau g ada alien dari rrq,True
140,@hackinggg7489,2024-09-19T20:56:04Z,0,.,True
141,@dedesahidin9780,2024-09-19T20:43:11Z,0,"Wkwkwk so kiboy panik ulti Gatot ,mental nya emng lemah sama kaya si buts",True
142,@xionnn2143,2024-09-19T20:04:34Z,0,Si pulung ngerap,True
143,@dhaastrifegaming2359,2024-09-19T17:47:24Z,0,Kasian kairi udh kill banyak ehh ke kombekğŸ˜‚,True
144,@EngkusAndi,2024-09-19T17:00:36Z,0,"Kerennn beud nih last lordnya, dyreennnn kerennnn",True
145,@badboysquare3988,2024-09-19T16:10:44Z,0,"Kasian ya kalah onicğŸ˜‚, agresive tapi kalah kairi kairi",True
146,@RosadiLubis-y1q,2024-09-19T15:38:51Z,0,Puas bnget gua liat onic dibantai dua kali,True
147,@RadityaAlfahrezy,2024-09-19T14:18:25Z,0,saboo.,True
148,@sedikittau8406,2024-09-19T13:19:45Z,0,"RRQ itu nafas bagi YouTube MPL ID. Coba klo GX percaya scrol aja. Team mana yg bertanding yg menghasilkan view terbanyak klo bukan RRQ.  Match RRQ vs FONIC leg 2 ini aja udh 1 juta view 
Dan RRQ vs BTR bakalan nyusul ke 1 juta View. 

Coba klo RRQ semisal GX ada di MPL ID. Pasti sepi penonton ğŸ˜…",True
149,@miko0094,2024-09-19T12:56:59Z,0,Kairi esportğŸ˜‚,True
150,@miyamuraizumi132,2024-09-19T11:31:27Z,0,Sutsujin x Sutsuling,True
151,@Kingsmile8320,2024-09-19T11:19:25Z,0,"Jan asal recall dek, udah tau rrq tukang combekğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",True
152,@RizalAf-p4l,2024-09-19T07:13:57Z,1,Sakit kuping gw dengerin pak pulung ngomong belibet bnget njir wkwkwk,True
153,@urangsundaasli9361,2024-09-19T06:07:46Z,0,PEMUJA KAIRI KIRA2 MAU PAKE ALESAN APA LAGI YAH KALO TIMNYA SEDANG LAWAK,True
154,@randomkonten9680,2024-09-19T01:52:43Z,0,"Sang Raja lagi berada di atas tahta,,",True
155,@harisvegeance1,2024-09-18T22:13:20Z,1,LEMON KEMANA?,True
156,@thecover7185,2024-09-18T20:39:50Z,0,Mana nih kairi esport,True
157,@RotanimodGaming,2024-09-18T19:37:43Z,1,"ğŸ¥µPanggil Kapten Butsss balik ga sih? 
Buktinya hehehe https://www.youtube.com/watch?v=ab3ZDKdefM8",True
158,@enonginside7764,2024-09-18T15:36:03Z,0,Kiyboy kebanyakan rcall,True
159,@ilyasajr1072,2024-09-18T14:39:30Z,0,SKEILERRRRR YUHUUUUU,True
160,@adhejams1439,2024-09-18T12:58:48Z,0,settingan gak sih..??,True
161,@masmullet2137,2024-09-18T11:51:01Z,0,Maniac mu tk seindah Wipeout kuğŸ˜,True
162,@JendralKantjil,2024-09-18T09:52:47Z,0,Tazz pernah bilang sutsujin itu bakal Mateng..,True
163,@leonardodameri5041,2024-09-18T09:09:05Z,0,"@MPL ID : tolong dong min 
Kalau ada match2 besar yg tegang begini 
Duetin lagi min pak pulung lim kocul sama kb 
Karna menurutku trio ini bagus banget dalam membawa suasana para penonton lebih tegang dan lebih seru dalam menonton pertandingan tersebut 
Dapat banget bikin merinding jugaa 
Nge castnya bagus lah bawain hype kedalam penonton juga jadi penonton jadi pengen stay terus 
POV merinding dari ku ketika RRQ vs onic di game 1 
Aku merinding denger lim kocul dan pak pulung ucapkan kata wipe out 
Saat rrq menang di menit 25 itu gatau merinding aja ğŸ¤˜ğŸ¤˜",True
164,@skycryzxx,2024-09-18T08:23:13Z,0,07.50 gg sutsujin,True
165,@Gembel_elite835,2024-09-18T08:08:27Z,0,"ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ onic gk berubah2 dari season 1 smpe skrg cuma jadi kelinci percobaan rrqğŸ˜‚ğŸ˜‚ğŸ˜‚
Dapetin piala cuma bisa bayar tim lain doang biar bisa menang",True
166,@SyaraifaN,2024-09-18T08:06:38Z,0,Apakah Onic akan menjadi rival RRQ?,True
167,@penguasakegelapan-j9d,2024-09-18T08:00:38Z,0,"bener' seru kalo rrq vs onic, ğ—¥ğ—§ğ—£ğŸ´ğŸ¬ğŸ¬ğŸ¬ selalu suport kalian semua",True
168,@mkchannelofficial,2024-09-18T07:07:30Z,0,1juta views,True
169,@GilangBlitar,2024-09-18T06:26:43Z,1,The real come back,True
170,@Ridergeming123,2024-09-18T05:18:39Z,0,nice,True
171,@muhamadwahyudi446,2024-09-18T03:56:14Z,0,Sans terdiam gak bisa tengillğŸ˜‚,True
172,@SMGmanga,2024-09-18T02:01:16Z,0,TDK ada kaAA  parlay y ML ğŸ˜‚ğŸ˜…ğŸ˜…,True
173,@FahriJP,2024-09-18T01:46:55Z,0,gila' fnoc tetap semangat FNOC udah lumayan ğŸ’ªğŸ’ª,True
174,@rizallalbahar6159,2024-09-18T01:32:58Z,0,Sanzzzz mana suaranya???,True
175,@crymorest2152,2024-09-17T21:26:30Z,2,"Menang dipuji, kalah dihina, seperti itulah yg katanya ""FANS"".",True
176,@muhidinmuhi2577,2024-09-17T19:19:33Z,0,keren sih,True
177,@dorabudek,2024-09-17T17:43:07Z,0,Igat kata ku ini 2-0 ada alasanğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,True
178,@dadanmandala2266,2024-09-17T17:36:57Z,0,"Mentalnya ngeri....tower abis bisa jdi menang...gila sih tim ini â¤â¤â¤ skylar menyala, user ling jg mainnya madep sabar tunggu momment...yg lainnya jg kerenâ¤â¤â¤â¤",True
179,@srilestari332,2024-09-17T17:20:09Z,0,Behasil,True
180,@erensadikna7269,2024-09-17T15:37:47Z,0,988rb min wkwkwkkğŸ˜«ğŸ˜«,True
181,@RyuBiyantri,2024-09-17T15:18:19Z,0,Keren sih mpl kali ini buat RRQ...,True
182,@motivasi_hidup_islami941,2024-09-17T15:01:20Z,0,berhasil,True
183,@amir-k1g1r,2024-09-17T14:28:23Z,0,Minimal dukung kairiâ¤â¤,True
184,@rajibtengil8609,2024-09-17T14:27:09Z,1,Mamam tuh banyakin recall sanzz banyak gaya si bahahahahah,True
185,@RivanNofriyan,2024-09-17T14:13:05Z,0,Anjir kairi ğŸ‘ğŸ¤£,True
186,@adelrokok6576,2024-09-17T14:06:21Z,0,p,True
187,@demux.i9287,2024-09-17T13:44:14Z,0,GG Dyren sih pas momentum di lordnya. epic bener,True
188,@pulungputra,2024-09-17T13:18:26Z,0,"Analis casternya soktau, udh mending diem ae",True
189,@meykerempas6439,2024-09-17T12:33:46Z,0,dyren save the dayğŸ‰,True
190,@hardifachrul8353,2024-09-17T12:30:09Z,0,Fans kairi pindah kezubsujin,True
191,@aufasufiyullah,2024-09-17T12:08:41Z,0,Turtle ya hilang di awal,True
192,@afrijaldz,2024-09-17T12:04:09Z,0,coba kalo ada butss pasti menang,True
193,@NiniPansa,2024-09-17T11:33:31Z,0,YesssssssğŸ¤ğŸ¤ğŸ¤ğŸ¤ğŸ¤ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,True
194,@NiniPansa,2024-09-17T11:22:35Z,0,Honestly Sutsujin is better than kairi in LING,True
195,@TAMATAMAGG,2024-09-17T10:52:52Z,0,rrq â¤,True
196,@axelpay3428,2024-09-17T10:46:21Z,0,yang juara ttep BTR,True
197,@realita2249,2024-09-17T10:17:09Z,0,Siapa itu rezz ğŸ˜‚,True
198,@imamcoy9614,2024-09-17T09:48:02Z,0,Gg,True
